2020.04.27,0:00,1.08208,1.08602,1.08112,1.0828,95439
2020.04.28,0:00,1.08275,1.08883,1.08096,1.08182,77049
2020.04.29,0:00,1.0818,1.08855,1.08179,1.08728,74705
2020.04.30,0:00,1.08709,1.09724,1.08328,1.09507,84471
2020.05.01,0:00,1.09485,1.1018,1.09343,1.09802,55528
2020.05.04,0:00,1.09684,1.09743,1.08956,1.09065,54761
2020.05.05,0:00,1.09054,1.09257,1.08257,1.0839,58150
2020.05.06,0:00,1.08397,1.08454,1.07818,1.07929,54033
2020.05.07,0:00,1.07925,1.08339,1.07664,1.08319,60714
2020.05.08,0:00,1.08315,1.08755,1.0815,1.08386,48534
2020.05.11,0:00,1.0824,1.08503,1.08005,1.0806,49534
2020.05.12,0:00,1.08038,1.08852,1.07843,1.08469,54306
2020.05.13,0:00,1.08464,1.08963,1.08115,1.08173,58528
2020.05.14,0:00,1.08167,1.08238,1.07748,1.08042,53197
2020.05.15,0:00,1.08031,1.08505,1.07888,1.08187,50568
2020.05.18,0:00,1.08014,1.09269,1.07998,1.09139,48887
